iso3,country,birth_reg_2021,birth_reg
AGO,Angola,25%,25
AFG,Afghanistan,42%,42
ALB,Albania,90% - 99%,98
DZA,Algeria,100%,100
ATG,Antigua and Barbuda,90% or more,90
ARG,Argentina,90-99%,100
ARM,Armenia,99%,99
AUS,Australia,100%,100
AUT,Austria,90% or more,100
AZE,Azerbaijan,94%,94
BHS,Bahamas,75-89%,75
BHR,Bahrain,90% or more,100
BGD,Bangladesh,56%,56
BRB,Barbados,99%,99
BLR,Belarus,90% - 99%,100
BEL,Belgium,90% or more,100
BLZ,Belize,96%,96
BEN,Benin,86%,86
BTN,Bhutan,100%,100
BOL,Bolivia,90-99%,92
BIH,Bosnia and Herzegovina,90% or more,100
BWA,Botswana,100%,100
BRA,Brazil,90-99%,96
BRN,Brunei Darussalam,100%,100
BGR,Bulgaria,100%,100
BFA,Burkina Faso,77%,77
BDI,Burundi,84%,84
KHM,Cambodia,73%,73
CMR,Cameroon,62%,62
CAN,Canada,90-99%,100
CPV,Cape Verde,90% or more,91
CAF,Central African Republic,45%,45
TCD,Chad,26%,26
CHL,Chile,90-99%,99
CHN,China,90% or more,90
COL,Colombia,97%,97
COM,Comoros,87%,87
COG,Congo,96%,96
CRI,Costa Rica,98%,98
CIV,Côte d'Ivoire,72%,72
HRV,Croatia,90% - 99%,100
CUB,Cuba,100%,100
CYP,Cyprus,90% or more,100
CZE,Czech Republic,100%,100
COD,Democratic Republic of the Congo,40%,40
DNK,Denmark,90% or more,100
DJI,Djibouti,92%,92
DMA,Dominica,90% or more,90
DOM,Dominican Republic,80-89%,88
ECU,Ecuador,80-89%,82
EGY,Egypt,98%,98
SLV,El Salvador,90-99%,99
GNQ,Equatorial Guinea,53%,53
ERI,Eritrea,,0
EST,Estonia,100%,100
SWZ,Eswatini,54%,54
ETH,Ethiopia,3%,3
FJI,Fiji,89%,89
FIN,Finland,100%,100
FRA,France,90% - 99%,100
GAB,Gabon,90%,90
GMB,Gambia,58%,58
GEO,Georgia,90% or more,100
DEU,Germany,100%,100
GHA,Ghana,71%,71
GRC,Greece,90% or more,100
GRD,Grenada,90% or more,90
GTM,Guatemala,97%,97
GIN,Guinea,31%,31
GNB,Guinea-Bissau,46%,46
GUY,Guyana,80-89%,89
HTI,Haiti,85%,85
HND,Honduras,99%,99
HUN,Hungary,90% - 99%,100
ISL,Iceland,100%,100
IND,India,86%,86
IDN,Indonesia,78%,78
IRN,"Iran, Islamic Republic of",97%,97
IRQ,Iraq,90-99%,99
IRL,Ireland,90% or more,100
ISR,Israel,90-99%,100
ITA,Italy,100%,100
JAM,Jamaica,90% or more,98
JPN,Japan,90-99%,100
JOR,Jordan,98%,98
KAZ,Kazakhstan,90-99%,100
KEN,Kenya,74%,74
KIR,Kiribati,92%,92
KWT,Kuwait,90% or more,90
KGZ,Kyrgyzstan,99%,99
LAO,Laos,75%,75
LVA,Latvia,90% or more,100
LBN,Lebanon,90% or more,100
LSO,Lesotho,45%,45
LBR,Liberia,25%,25
LBY,Libyan Arab Jamahiriya,90% or more,90
