year,iso3,cntry,country_name,cntryID,residur_raw_v2,iussoli2_v2,iussoli3_v2,ecoreq_v2,crimreq_v2,iussoli_v2,natreq_v2,civint_v2,dualcit_v2,CITRIX_v2,CITRIX_firstgen_v2,dualcit_v2_plus1,residur_v2_plus1,intcon_v2_plus1,iussoli_v2_plus1,langtest_v2,cittest_v2,residur_v2,intcon_v2,period,CITRIX_nointcon_v2,CITRIX_catpca_os,CITRIX_1gen_v2,corrected,var1_corrected,var2_corrected,var1_corrected_justification,var2_corrected_justification,var3_corrected,var3_corrected_justification,residur_raw_v1,iussoli2_v1,iussoli3_v1,langtest_v1,cittest_v1,ecoreq_v1,crimreq_v1,iussoli_v1,natreq_v1,civint_v1,intcon_v1,dualcit_v1,residur_v1,CITRIX_v1,CITRIX_firstgen_v1,CITRIX_nointcon_v1,MIPEX_ATN_2020
2014,,,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.125
2015,,,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.125
2016,,,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.125
2017,,,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.125
2018,,,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.125
2019,ALB,,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.125
2014,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.75
2015,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.75
2016,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.75
2017,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.625
2018,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.625
2019,ARG,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.625
1980,,au,Australia,2,3,100,100,100,100,100,100,83.5,0,67.9375,55.76923,1,81,92.75,101,67,100,80,91.75,Cold War,60,1.10576956,55.76923,1,langtest,N/A,"informal assessment of ""adequate"" skills - after 1984 ""basic"" - as indicated by GLOBALCIT resources and DEMIG",N/A,N/A,N/A,3,100,100,100,100,100,100,100,100,100,100,0,92.307693,73.07692,64.102562,66.666664,
1981,,au,Australia,2,3,100,100,100,100,100,100,83.5,0,67.9375,55.76923,1,81,92.75,101,67,100,80,91.75,Cold War,60,1.10576956,55.76923,1,langtest,N/A,"informal assessment of ""adequate"" skills - after 1984 ""basic"" - as indicated by GLOBALCIT resources and DEMIG",N/A,N/A,N/A,3,100,100,100,100,100,100,100,100,100,100,0,92.307693,73.07692,64.102562,66.666664,
1982,,au,Australia,2,3,100,100,100,100,100,100,83.5,0,67.9375,55.76923,1,81,92.75,101,67,100,80,91.75,Cold War,60,1.10576956,55.76923,1,langtest,N/A,"informal assessment of ""adequate"" skills - after 1984 ""basic"" - as indicated by GLOBALCIT resources and DEMIG",N/A,N/A,N/A,3,100,100,100,100,100,100,100,100,100,100,0,92.307693,73.07692,64.102562,66.666664,
1983,,au,Australia,2,3,100,100,100,100,100,100,83.5,0,67.9375,55.76923,1,81,92.75,101,67,100,80,91.75,Cold War,60,1.10576956,55.76923,1,langtest,N/A,"informal assessment of ""adequate"" skills - after 1984 ""basic"" - as indicated by GLOBALCIT resources and DEMIG",N/A,N/A,N/A,3,100,100,100,100,100,100,100,100,100,100,0,92.307693,73.07692,64.102562,66.666664,
1984,,au,Australia,2,2,100,100,100,0,100,50,83.5,0,63.354164,50,1,87.666664,67.75,101,67,100,86.666664,66.75,Cold War,62.222221,1.146858565,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,100,100,100,100,100,0,100,50,100,75,0,100,68.75,58.333332,58.333332,
1985,,au,Australia,2,2,100,100,100,0,100,50,83.5,0,63.354164,50,1,87.666664,67.75,101,67,100,86.666664,66.75,Cold War,62.222221,1.146858565,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,100,100,100,100,100,0,100,50,100,75,0,100,68.75,58.333332,58.333332,
1986,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,Cold War,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1987,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,Cold War,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
1988,,au,Australia,2,2,67,100,100,0,77.89,50,83.5,0,57.826668,50,1,87.666664,67.75,78.889999,67,100,86.666664,66.75,Cold War,54.852222,0.777503065,50,1,cittest,N/A,informal assessment by judge of knowledge about rights and responsibilities of citizenship - according to actual law retrieved by GLOBALCIT,N/A,N/A,N/A,2,67,100,100,100,100,0,78,50,100,75,0,100,63.25,58.333332,51,
